Country,Electricity_Consumption_TWh,Electricity_Consumption_kWh,Solar_Panels_Needed,Area_m2,Total_Area_km2
China,8539.69,8539690000000.001,17079380000.000002,34841935200.00001,9596961.0
United States,4128.18,4128180000000.001,8256360000.000001,16842974400.000002,9833517.0
India,1462.87,1462870000000.0,2925740000.0,5968509600.0,3287263.0
Russia,1025.54,1025540000000.0,2051080000.0,4184203200.0,17098242.0
Japan,939.31,939310000000.0,1878620000.0,3832384800.0,377975.0
South Korea,586.77,586770000000.0,1173540000.0,2394021600.0,100210.0
Brazil,583.18,583180000000.0,1166360000.0,2379374400.0,8515767.0
Canada,553.26,553260000000.0,1106520000.0,2257300800.0,9984670.0
Germany,507.25,507250000000.0,1014500000.0,2069580000.0,357022.0
France,425.99,425990000000.0,851980000.0,1738039200.0,551695.0
Saudi Arabia,393.21,393210000000.0,786420000.0,1604296800.0,2149690.0
Iran,315.84,315840000000.0,631680000.0,1288627200.0,1648195.0
Indonesia,312.42,312420000000.0,624840000.0,1274673600.0,1904569.0
Italy,298.32,298320000000.0,596640000.0,1217145600.0,301340.0
Mexico,296.97,296970000000.0,593940000.0,1211637600.0,1964375.0
United Kingdom,287.13,287130000000.0,574260000.0,1171490400.0,243610.0
Turkey,280.46,280460000000.0,560920000.0,1144276800.0,783562.0
Taiwan,274.03,274030000000.0,548059999.9999999,1118042399.9999998,36193.0
Vietnam,251.55,251550000000.0,503100000.0,1026324000.0,331212.0
Australia,250.0,250000000000.0,500000000.0,1020000000.0,7692024.0
Spain,232.66,232660000000.0,465320000.0,949252800.0,505990.0
South Africa,200.57,200570000000.0,401140000.0,818325600.0,1221037.0
Thailand,199.67,199670000000.0,399340000.0,814653600.0,513120.0
Malaysia,181.0,181000000000.0,362000000.0,738480000.0,330803.0
Egypt,176.72,176720000000.0,353440000.0,721017600.0,1001450.0
United Arab Emirates,161.89,161890000000.0,323780000.0,660511200.0,83600.0
Poland,156.87,156870000000.0,313740000.0,640029600.0,312679.0
Pakistan,146.0,146000000000.0,292000000.0,595680000.0,881913.0
Sweden,129.93,129930000000.0,259860000.0,530114400.0,450295.0
Argentina,127.98,127980000000.0,255960000.0,522158400.0,2780400.0
Norway,121.9,121900000000.0,243800000.0,497352000.0,385207.0
Netherlands,111.76,111760000000.0,223520000.0,455980800.0,41543.0
Kazakhstan,108.34,108340000000.0,216680000.0,442027200.0,2724900.0
Philippines,102.83,102830000000.0,205660000.0,419546400.0,300000.0
Ukraine,99.69,99690000000.0,199380000.0,406735200.0,603500.0
Bangladesh,99.55,99550000000.0,199100000.0,406164000.0,147570.0
Chile,86.63,86630000000.0,173260000.0,353450400.0,756102.0
Colombia,80.94,80940000000.0,161880000.0,330235200.0,1141748.0
Finland,80.08,80080000000.0,160160000.0,326726400.0,338424.0
Belgium,79.97,79970000000.0,159940000.0,326277600.0,30528.0
Kuwait,78.7,78700000000.0,157400000.0,321096000.0,17818.0
Algeria,77.79,77790000000.0,155580000.0,317383200.0,2381741.0
Uzbekistan,67.64,67640000000.0,135280000.0,275971200.0,447400.0
Iraq,65.91,65910000000.0,131820000.0,268912800.0,438317.0
Israel,65.44,65440000000.0,130880000.0,266995200.0,22072.0
Austria,65.17,65170000000.0,130340000.0,265893600.0,83879.0
Czech Republic,62.08,62080000000.0,124160000.0,253286400.0,78867.0
Switzerland,57.19,57190000000.0,114380000.0,233335200.0,41290.0
Singapore,57.03,57030000000.0,114060000.0,232682400.0,729.0
Venezuela,56.77,56770000000.0,113540000.0,231621600.0,912050.0
Qatar,51.08,51080000000.0,102160000.0,208406400.0,
Peru,50.87,50870000000.0,101740000.0,207549600.0,
Portugal,50.26,50260000000.0,100520000.0,205060800.0,
Romania,49.81,49810000000.0,99620000.0,203224800.0,
Greece,47.28,47280000000.0,94560000.0,192902400.0,
Hong Kong,44.68,44680000000.0,89360000.0,182294400.0,
Hungary,43.19,43190000000.0,86380000.0,176215200.0,
New Zealand,41.47,41470000000.0,82940000.0,169197600.0,
Oman,39.01,39010000000.0,78020000.0,159160800.0,
Belarus,35.52,35520000000.0,71040000.0,144921600.0,
Bulgaria,35.37,35370000000.0,70740000.0,144309600.0,
Morocco,35.28,35280000000.0,70560000.0,143942400.0,
Bahrain,34.52,34520000000.0,69040000.0,140841600.0,
Denmark,33.17,33170000000.0,66340000.0,135333600.0,
Nigeria,31.57,31570000000.0,63140000.0,128805600.0,
Ireland,30.74,30740000000.0,61480000.0,125419200.0,
Serbia,30.68,30680000000.0,61360000.0,125174400.0,
Ecuador,27.7,27700000000.0,55400000.0,113016000.0,
Slovakia,26.37,26370000000.0,52740000.0,107589600.0,
Libya,24.67,24670000000.0,49340000.0,100653600.0,
Azerbaijan,23.83,23830000000.0,47660000.0,97226400.0,
Jordan,19.68,19680000000.0,39360000.0,80294400.0,
Iceland,19.3,19300000000.0,38600000.0,78744000.0,
Ghana,19.14,19140000000.0,38280000.0,78091200.0,
Dominican Republic,19.09,19090000000.0,38180000.0,77887200.0,
Tunisia,19.06,19060000000.0,38120000.0,77764800.0,
North Korea,18.24,18240000000.0,36480000.0,74419200.0,
Puerto Rico,18.1,18100000000.0,36200000.0,73848000.0,
Paraguay,17.49,17490000000.0,34980000.0,71359200.0,
Croatia,17.11,17110000000.0,34220000.0,69808800.0,
Turkmenistan,16.98,16980000000.0,33960000.0,69278400.0,
Myanmar,15.47,15470000000.0,30940000.0,63117600.0,
Angola,14.99,14990000000.0,29980000.0,61159200.0,
Zambia,14.97,14970000000.0,29940000.0,61077600.0,
Sudan,14.88,14880000000.0,29760000.0,60710400.0,
Cuba,14.56,14560000000.0,29120000.0,59404800.0,
Tajikistan,14.32,14320000000.0,28640000.0,58425600.0,
Georgia,13.9,13900000000.0,27800000.0,56712000.0,
