Country,Year,Energy_Consumption
Canada,1990.0,3.1930561400949955
Mexico,1990.0,0.31296683102846146
United States,1990.0,3.845121242105961
Total North America,1990.0,7.351144213229418
Argentina,1990.0,0.19008828478399664
Brazil,1990.0,2.5104743614792824
Chile,1990.0,0.1062496742233634
Colombia,1990.0,0.29584657750092447
Ecuador,1990.0,0.05308409407734871
Peru,1990.0,0.11300709331408143
Trinidad & Tobago,1990.0,0.0003562500060070306
Venezuela,1990.0,0.39368999004364014
Central America,1990.0,0.13693747884826735
Other Caribbean,1990.0,0.0888664212252479
Other South America,1990.0,0.37031709960865555
Total S. & Cent. America,1990.0,4.258917325110815
Austria,1990.0,0.34854773711413145
Belgium,1990.0,0.006146854953840375
Bulgaria,1990.0,0.017351612448692322
Croatia,1990.0,0.04182563823997043
Cyprus,1990.0,0.0
Czech Republic,1990.0,0.012359032407402992
Denmark,1990.0,0.009208113275235519
Estonia,1990.0,0.0
Finland,1990.0,0.17485307157039642
France,1990.0,0.5953992027789354
Germany,1990.0,0.20179124362766743
Greece,1990.0,0.018852580627935822
Hungary,1990.0,0.0020902016549371183
Iceland,1990.0,0.04710674867965281
Ireland,1990.0,0.007419677451252937
Italy,1990.0,0.37020544335246086
Latvia,1990.0,0.04786064475774765
Lithuania,1990.0,0.004407096654176712
Luxembourg,1990.0,0.0008888679149094969
Netherlands,1990.0,0.009200564760249108
North Macedonia,1990.0,0.005226774141192436
Norway,1990.0,1.2920559032354504
Poland,1990.0,0.015716249530669302
Portugal,1990.0,0.10544676054269075
Romania,1990.0,0.1214934393974545
Slovakia,1990.0,0.020012903958559036
Slovenia,1990.0,0.031658709049224854
Spain,1990.0,0.2769776568748057
Sweden,1990.0,0.7942627184092999
Switzerland,1990.0,0.322247008793056
Turkey,1990.0,0.2472281635273248
Ukraine,1990.0,0.1119232252240181
United Kingdom,1990.0,0.061416120268404484
Other Europe,1990.0,0.24787572475895558
Total Europe,1990.0,5.569055689980701
Azerbaijan,1990.0,0.017649676650762558
Belarus,1990.0,0.0002129032218363136
Kazakhstan,1990.0,0.0784122571349144
Russia,1990.0,1.7768095936626196
Turkmenistan,1990.0,3.19354840030428e-05
USSR,1990.0,0.0
Uzbekistan,1990.0,0.07076903432607651
Other CIS,1990.0,0.3054948372300714
Total CIS,1990.0,2.249380237710284
Iran,1990.0,0.07857193797826767
Iraq,1990.0,0.04950280860066414
Israel,1990.0,3.19354840030428e-05
Kuwait,1990.0,0.0
Oman,1990.0,0.0
Qatar,1990.0,0.0
Saudi Arabia,1990.0,0.0
United Arab Emirates,1990.0,0.0
Other Middle East,1990.0,0.03449032209664438
Total Middle East,1990.0,0.16259700415957923
Algeria,1990.0,0.0014370967401191592
Egypt,1990.0,0.10595128685235977
Morocco,1990.0,0.012987096793949604
South Africa,1990.0,0.010751612484455109
Eastern Africa,1990.0,0.23497864598903107
Middle Africa,1990.0,0.1095518945785443
Western Africa,1990.0,0.12791661161463708
Other Northern Africa,1990.0,0.000468387093860656
Other Southern Africa,1990.0,0.0142858064500615
Total Africa,1990.0,0.6183284385970182
Australia,1990.0,0.16584538761526346
Bangladesh,1990.0,0.009410322643816471
China,1990.0,1.3499155212193727
China Hong Kong SAR,1990.0,0.0
India,1990.0,0.707562014576979
Indonesia,1990.0,0.08063227776437998
Japan,1990.0,1.0531404167413712
Malaysia,1990.0,0.04286475479602814
New Zealand,1990.0,0.2780434899032116
Pakistan,1990.0,0.18187683820724487
Philippines,1990.0,0.12530681118369102
Singapore,1990.0,0.0009768145391717553
South Korea,1990.0,0.049872005502948014
Sri Lanka,1990.0,0.03347690403461456
Taiwan,1990.0,0.07035711244679987
Thailand,1990.0,0.05244857314391993
Vietnam,1990.0,0.05715386942028999
Other Asia Pacific,1990.0,0.2373598936947019
Total Asia Pacific,1990.0,4.4962430074338045
Total World,1990.0,24.70566591622162
of which: OECD,1990.0,14.359534911572155
                 Non-OECD,1990.0,10.346131004649465
                 European Union #,1990.0,3.233976021352646
Canada,1991.0,3.3168068304657936
Mexico,1991.0,0.300968524068594
United States,1991.0,3.839649498462677
Total North America,1991.0,7.457424852997065
Argentina,1991.0,0.1704363055760041
Brazil,1991.0,2.6345313228666782
Chile,1991.0,0.15170232485979795
Colombia,1991.0,0.2982399119064212
Ecuador,1991.0,0.054033998399972916
Peru,1991.0,0.12386262463405728
Trinidad & Tobago,1991.0,0.0002872983750421554
Venezuela,1991.0,0.47415676712989807
Central America,1991.0,0.1347963133302983
